id,platform,title,description,category,skills,instructor,rating,num_reviews,price,level,language,duration,url,image_url,scraped_at
coursera_37,Coursera,Machine Learning,"Skills you'll gain: Unsupervised Learning, Supervised Learning, Transfer Learning, Machine Learning, Jupyter, Applied Machine Learning, Data Ethics, Decision Tree Learning, Model Evaluation, Tensorflow, Scikit Learn (Machine Learning Library), NumPy, Predictive Modeling, Deep Learning, Artificial Intelligence, Classification Algorithms, Reinforcement Learning, Random Forest Algorithm, Feature Engineering, Data Preprocessing",Machine Learning,"machine, learning",Multiple educators,,38000.0,Free,Beginner,English,,https://www.coursera.org/specializations/machine-learning-introduction,,2026-01-29T14:46:57.375746
coursera_38,Coursera,Machine Learning with Python,"Skills you'll gain: Unsupervised Learning, Supervised Learning, Model Evaluation, Regression Analysis, Scikit Learn (Machine Learning Library), Applied Machine Learning, Predictive Modeling, Machine Learning, Dimensionality Reduction, Decision Tree Learning, Python Programming, Logistic Regression, Classification Algorithms, Feature Engineering",Machine Learning,"machine, learning",IBM,,18000.0,Free,Intermediate,English,,https://www.coursera.org/learn/machine-learning-with-python,,2026-01-29T14:46:57.603507
coursera_39,Coursera,IBM Machine Learning,"Skills you'll gain: Exploratory Data Analysis, Autoencoders, Feature Engineering, Unsupervised Learning, Supervised Learning, Classification Algorithms, Regression Analysis, Dimensionality Reduction, Time Series Analysis and Forecasting, Recurrent Neural Networks (RNNs), Convolutional Neural Networks, Reinforcement Learning, Generative Adversarial Networks (GANs), Deep Learning, Data Analysis, Statistical Methods, Data Preprocessing, Machine Learning, Data Science, Python Programming",Machine Learning,"machine, learning",IBM,,3600.0,Free,Intermediate,English,,https://www.coursera.org/professional-certificates/ibm-machine-learning,,2026-01-29T14:46:57.819782
coursera_40,Coursera,Mathematics for Machine Learning,"Skills you'll gain: Linear Algebra, Dimensionality Reduction, NumPy, Regression Analysis, Calculus, Applied Mathematics, Data Preprocessing, Unsupervised Learning, Feature Engineering, Machine Learning Algorithms, Jupyter, Advanced Mathematics, Statistics, Artificial Neural Networks, Algorithms, Mathematical Modeling, Python Programming, Derivatives",Machine Learning,"machine, learning",Imperial College London,,15000.0,Free,Beginner,English,,https://www.coursera.org/specializations/mathematics-machine-learning,,2026-01-29T14:46:58.041704
coursera_41,Coursera,Machine Learning,"Skills you'll gain: Model Evaluation, Classification Algorithms, Regression Analysis, Applied Machine Learning, Feature Engineering, Machine Learning, Image Analysis, Unsupervised Learning, Predictive Modeling, Supervised Learning, Bayesian Statistics, Logistic Regression, Statistical Modeling, Artificial Intelligence, Data Preprocessing, Deep Learning, Data Mining, Decision Tree Learning, Computer Vision, Statistical Machine Learning",Machine Learning,"machine, learning",University of Washington,,16000.0,Free,Intermediate,English,,https://www.coursera.org/specializations/machine-learning,,2026-01-29T14:46:58.249749
coursera_42,Coursera,Fundamentals of Machine Learning and Artificial Intelligence,"Skills you'll gain: Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Deep Learning, AI Enablement, Artificial Intelligence, Amazon Web Services, Applied Machine Learning, Machine Learning, Digital Transformation",Machine Learning,"machine, learning",Amazon Web Services,,2600.0,Free,,English,,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,,2026-01-29T14:46:58.456026
coursera_43,Coursera,Supervised Machine Learning: Regression and Classification,"Skills you'll gain: Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Classification Algorithms, Feature Engineering, Artificial Intelligence, Model Evaluation, Data Preprocessing, Python Programming, Logistic Regression, Regression Analysis, Unsupervised Learning",Machine Learning,"machine, learning",DeepLearning.AI,,32000.0,Free,Beginner,English,,https://www.coursera.org/learn/machine-learning,,2026-01-29T14:46:58.665842
coursera_44,Coursera,The Nuts and Bolts of Machine Learning,"Skills you'll gain: Feature Engineering, Model Evaluation, Advanced Analytics, Statistical Machine Learning, Unsupervised Learning, Machine Learning, Data Ethics, Supervised Learning, Decision Tree Learning, Random Forest Algorithm, Classification Algorithms, Python Programming, Performance Tuning",Machine Learning,"machine, learning",Google,,597000.0,Free,Advanced,English,,https://www.coursera.org/learn/the-nuts-and-bolts-of-machine-learning,,2026-01-29T14:46:58.867040
coursera_45,Coursera,Mathematics for Machine Learning and Data Science,"Skills you'll gain: Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Numerical Analysis, Machine Learning Algorithms, Data Preprocessing, Machine Learning, Machine Learning Methods",Machine Learning,"machine, learning",DeepLearning.AI,,3100.0,Free,Intermediate,English,,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,,2026-01-29T14:46:59.064763
coursera_46,Coursera,Foundations of Machine Learning,"Skills you'll gain: Model Evaluation, Supervised Learning, Unsupervised Learning, Data Preprocessing, Time Series Analysis and Forecasting, Applied Machine Learning, Machine Learning Algorithms, Feature Engineering, Dimensionality Reduction, Machine Learning, Predictive Modeling, Predictive Analytics, Scikit Learn (Machine Learning Library), Classification Algorithms, Forecasting, Decision Tree Learning, Anomaly Detection, Data Manipulation, Regression Analysis, Statistical Modeling",Machine Learning,"machine, learning",Coursera,,10000.0,Free,Intermediate,English,,https://www.coursera.org/learn/foundations-of-machine-learning-1,,2026-01-29T14:46:59.252197
