title,partner,rating,reviews,metadata,link,category,scraped_at,source_domain,num_ratings,duration_hours,level_enc,title_clean,popularity_score,id
The Data Science of Health Informatics,Johns Hopkins University,4.6,228 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/the-data-science-of-health-informatics,Health,2026-01-28T18:46:48.619778,coursera,228,5.0,1,the data science of health informatics,24.995121216349503,109
IBM UI/UX Designer,IBM,4.8,2.8K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-ui-ux-designer,Graphic Design,2026-01-29T02:38:45.879774,coursera,2800,20.0,1,ibm uiux designer,38.10111252124853,546
Investment Risk Management,Coursera,4.3,2.1K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/investment-risk-management,Project Management,2026-01-29T02:33:21.220267,coursera,2100,0.0,2,investment risk management,32.8957254136335,884
PMP Exam Preparation,LearnKartS,4.6,441 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/pmp-certification-training-course,Project Management,2026-01-29T02:32:45.309364,coursera,441,20.0,2,pmp exam preparation,28.02002545755741,856
Corporate Finance Essentials,IESE Business School,4.8,2.6K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/corporate-finance-essentials,Finance,2026-01-29T02:35:03.866150,coursera,2600,20.0,1,corporate finance essentials,37.74552607415352,456
Schizophrenia,Wesleyan University,4.8,2.5K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/schizophrenia,Psychology,2026-01-29T02:47:48.039720,coursera,2500,20.0,2,schizophrenia,37.55734046821257,912
Introduction to Social Media Marketing,Meta,4.8,16K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/social-media-marketing-introduction,Digital Marketing,2026-01-29T02:34:23.552447,coursera,16000,20.0,1,introduction to social media marketing,46.4659511964906,400
Positive Psychiatry and Mental Health ,The University of Sydney,4.8,3.9K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/positive-psychiatry,Health,2026-01-28T18:46:47.932060,coursera,3900,20.0,0,positive psychiatry and mental health ,39.69114340563195,105
Foundations of Digital Marketing,University of Maryland,4.5,21 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/foundations-of-digital-marketing,Digital Marketing,2026-01-29T02:34:24.666595,coursera,21,20.0,1,foundations of digital marketing,13.909691040112422,406
Generative AI Software Engineering,Vanderbilt University,4.8,8.5K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-software-engineering,Music Production,2026-01-29T02:41:11.509573,coursera,8500,20.0,1,generative ai software engineering,43.430107596563325,779
Social Psychology of Attraction and Relationships,American Psychological Association,4.6,16 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/social-psychology-of-attraction-and-relationships,Psychology,2026-01-29T02:47:46.755454,coursera,16,20.0,1,social psychology of attraction and relationships,13.032781382658593,905
Master Full-Stack Web Development with Laravel & PHP,Board Infinity,4.2,189 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/laravel-framework-and-php,Web Development,2026-01-29T02:29:47.769021,coursera,189,5.0,2,master fullstack web development with laravel  php,22.03750110307404,995
